2025-04-09 21:10:04,702 - INFO - Experiment started at 2025-04-09 21:10:04.702663
2025-04-09 21:10:04,703 - INFO - Experiment mode: knowledge_bases
2025-04-09 21:10:04,703 - INFO - Testing knowledge bases: ['kb_a', 'kb_b']
2025-04-09 21:10:04,703 - INFO - Using model: gemma-2-9b
2025-04-09 21:10:04,703 - INFO - Number of questions: 20
2025-04-09 21:10:04,703 - INFO - Repeats per question: 25
2025-04-09 21:10:04,703 - INFO - Timeout: 16 seconds
2025-04-09 21:10:04,704 - INFO - Concurrency: 15 workers
2025-04-09 21:10:04,704 - INFO - Delay between requests: 0.00625 seconds
2025-04-09 21:10:04,704 - INFO - Total API calls expected: 1000
2025-04-09 21:13:07,432 - INFO - Experiment started at 2025-04-09 21:13:07.432053
2025-04-09 21:13:07,432 - INFO - Experiment mode: knowledge_bases
2025-04-09 21:13:07,433 - INFO - Testing knowledge bases: ['kb_a', 'kb_b']
2025-04-09 21:13:07,433 - INFO - Using model: gemma-2-9b
2025-04-09 21:13:07,433 - INFO - Number of questions: 20
2025-04-09 21:13:07,433 - INFO - Repeats per question: 25
2025-04-09 21:13:07,433 - INFO - Timeout: 16 seconds
2025-04-09 21:13:07,433 - INFO - Concurrency: 15 workers
2025-04-09 21:13:07,433 - INFO - Delay between requests: 0.00625 seconds
2025-04-09 21:13:07,434 - INFO - Total API calls expected: 1000
2025-04-09 21:13:40,478 - INFO - Starting repeat 1/25 for all questions
2025-04-09 21:13:40,479 - INFO - Processing kb_a, Q1, repeat 1
2025-04-09 21:18:15,666 - INFO - Processing kb_a, Q20, repeat 5
2025-04-09 21:18:16,604 - INFO - Starting repeat 6/25 for all questions
2025-04-09 21:18:16,604 - INFO - Processing kb_a, Q1, repeat 6
2025-04-09 21:18:20,754 - INFO - Processing kb_a, Q2, repeat 6
2025-04-09 21:18:22,272 - INFO - Processing kb_a, Q3, repeat 6
2025-04-09 21:18:24,994 - INFO - Processing kb_a, Q4, repeat 6
2025-04-09 21:18:27,808 - INFO - Processing kb_a, Q5, repeat 6
2025-04-09 21:18:29,688 - INFO - Processing kb_a, Q6, repeat 6
2025-04-09 21:18:34,777 - INFO - Processing kb_a, Q7, repeat 6
2025-04-09 21:18:37,373 - INFO - Processing kb_a, Q8, repeat 6
2025-04-09 21:18:38,575 - INFO - Processing kb_a, Q9, repeat 6
2025-04-09 21:18:41,430 - INFO - Processing kb_a, Q10, repeat 6
2025-04-09 21:18:43,934 - INFO - Processing kb_a, Q11, repeat 6
2025-04-09 21:18:46,804 - INFO - Processing kb_a, Q12, repeat 6
2025-04-09 21:18:50,043 - INFO - Processing kb_a, Q13, repeat 6
2025-04-09 21:19:03,918 - INFO - Processing kb_a, Q14, repeat 6
2025-04-09 21:19:07,756 - INFO - Processing kb_a, Q15, repeat 6
2025-04-09 21:19:08,388 - INFO - Processing kb_a, Q16, repeat 6
2025-04-09 21:19:09,324 - INFO - Processing kb_a, Q17, repeat 6
2025-04-09 21:19:09,983 - INFO - Processing kb_a, Q18, repeat 6
2025-04-09 21:19:14,885 - INFO - Processing kb_a, Q19, repeat 6
2025-04-09 21:19:15,545 - INFO - Processing kb_a, Q20, repeat 6
2025-04-09 21:19:16,298 - INFO - Starting repeat 7/25 for all questions
2025-04-09 21:19:16,298 - INFO - Processing kb_a, Q1, repeat 7
2025-04-09 21:19:19,864 - INFO - Processing kb_a, Q2, repeat 7
2025-04-09 21:19:21,217 - INFO - Processing kb_a, Q3, repeat 7
2025-04-09 21:19:24,170 - INFO - Processing kb_a, Q4, repeat 7
2025-04-09 21:19:26,960 - INFO - Processing kb_a, Q5, repeat 7
2025-04-09 21:19:29,244 - INFO - Processing kb_a, Q6, repeat 7
2025-04-09 21:19:33,282 - INFO - Processing kb_a, Q7, repeat 7
2025-04-09 21:19:36,533 - INFO - Processing kb_a, Q8, repeat 7
2025-04-09 21:19:38,010 - INFO - Processing kb_a, Q9, repeat 7
2025-04-09 21:19:39,636 - INFO - Processing kb_a, Q10, repeat 7
2025-04-09 21:19:43,508 - INFO - Processing kb_a, Q11, repeat 7
2025-04-09 21:19:46,555 - INFO - Processing kb_a, Q12, repeat 7
2025-04-09 21:19:48,145 - INFO - Processing kb_a, Q13, repeat 7
2025-04-09 21:20:02,101 - INFO - Processing kb_a, Q14, repeat 7
2025-04-09 21:20:05,552 - INFO - Processing kb_a, Q15, repeat 7
2025-04-09 21:20:06,245 - INFO - Processing kb_a, Q16, repeat 7
2025-04-09 21:20:07,142 - INFO - Processing kb_a, Q17, repeat 7
2025-04-09 21:20:07,789 - INFO - Processing kb_a, Q18, repeat 7
2025-04-09 21:20:11,497 - INFO - Processing kb_a, Q19, repeat 7
2025-04-09 21:20:12,113 - INFO - Processing kb_a, Q20, repeat 7
2025-04-09 21:20:12,863 - INFO - Starting repeat 8/25 for all questions
2025-04-09 21:20:12,863 - INFO - Processing kb_a, Q1, repeat 8
2025-04-09 21:20:16,362 - INFO - Processing kb_a, Q2, repeat 8
2025-04-09 21:20:17,717 - INFO - Processing kb_a, Q3, repeat 8
2025-04-09 21:20:21,272 - INFO - Processing kb_a, Q4, repeat 8
2025-04-09 21:20:23,828 - INFO - Processing kb_a, Q5, repeat 8
2025-04-09 21:20:25,883 - INFO - Processing kb_a, Q6, repeat 8
2025-04-09 21:20:28,689 - INFO - Processing kb_a, Q7, repeat 8
2025-04-09 21:20:31,867 - INFO - Processing kb_a, Q8, repeat 8
2025-04-09 21:20:33,492 - INFO - Processing kb_a, Q9, repeat 8
2025-04-09 21:20:36,607 - INFO - Processing kb_a, Q10, repeat 8
2025-04-09 21:20:40,947 - INFO - Processing kb_a, Q11, repeat 8
2025-04-09 21:20:42,542 - INFO - Processing kb_a, Q12, repeat 8
2025-04-09 21:20:46,438 - INFO - Processing kb_a, Q13, repeat 8
2025-04-09 21:20:57,968 - INFO - Processing kb_a, Q14, repeat 8
2025-04-09 21:21:01,376 - INFO - Processing kb_a, Q15, repeat 8
2025-04-09 21:21:02,028 - INFO - Processing kb_a, Q16, repeat 8
2025-04-09 21:21:02,940 - INFO - Processing kb_a, Q17, repeat 8
2025-04-09 21:21:03,558 - INFO - Processing kb_a, Q18, repeat 8
2025-04-09 21:21:04,887 - INFO - Processing kb_a, Q19, repeat 8
2025-04-09 21:21:05,547 - INFO - Processing kb_a, Q20, repeat 8
2025-04-09 21:21:06,369 - INFO - Starting repeat 9/25 for all questions
2025-04-09 21:21:06,369 - INFO - Processing kb_a, Q1, repeat 9
2025-04-09 21:21:10,969 - INFO - Processing kb_a, Q2, repeat 9
2025-04-09 21:21:12,286 - INFO - Processing kb_a, Q3, repeat 9
2025-04-09 21:21:15,450 - INFO - Processing kb_a, Q4, repeat 9
2025-04-09 21:21:18,187 - INFO - Processing kb_a, Q5, repeat 9
2025-04-09 21:21:20,001 - INFO - Processing kb_a, Q6, repeat 9
2025-04-09 21:21:24,963 - INFO - Processing kb_a, Q7, repeat 9
2025-04-09 21:21:27,745 - INFO - Processing kb_a, Q8, repeat 9
2025-04-09 21:21:29,245 - INFO - Processing kb_a, Q9, repeat 9
2025-04-09 21:21:32,331 - INFO - Processing kb_a, Q10, repeat 9
2025-04-09 21:21:34,516 - INFO - Processing kb_a, Q11, repeat 9
2025-04-09 21:21:36,393 - INFO - Processing kb_a, Q12, repeat 9
2025-04-09 21:21:37,771 - INFO - Processing kb_a, Q13, repeat 9
2025-04-09 21:21:50,943 - INFO - Processing kb_a, Q14, repeat 9
2025-04-09 21:21:54,895 - INFO - Processing kb_a, Q15, repeat 9
2025-04-09 21:21:55,524 - INFO - Processing kb_a, Q16, repeat 9
2025-04-09 21:21:56,440 - INFO - Processing kb_a, Q17, repeat 9
2025-04-09 21:21:57,057 - INFO - Processing kb_a, Q18, repeat 9
2025-04-09 21:22:02,498 - INFO - Processing kb_a, Q19, repeat 9
2025-04-09 21:22:03,117 - INFO - Processing kb_a, Q20, repeat 9
2025-04-09 21:22:03,939 - INFO - Starting repeat 10/25 for all questions
2025-04-09 21:22:03,939 - INFO - Processing kb_a, Q1, repeat 10
2025-04-09 21:22:07,755 - INFO - Processing kb_a, Q2, repeat 10
2025-04-09 21:22:09,060 - INFO - Processing kb_a, Q3, repeat 10
2025-04-09 21:22:12,833 - INFO - Processing kb_a, Q4, repeat 10
2025-04-09 21:22:15,706 - INFO - Processing kb_a, Q5, repeat 10
2025-04-09 21:22:17,526 - INFO - Processing kb_a, Q6, repeat 10
2025-04-09 21:22:22,371 - INFO - Processing kb_a, Q7, repeat 10
2025-04-09 21:22:25,145 - INFO - Processing kb_a, Q8, repeat 10
2025-04-09 21:22:26,724 - INFO - Processing kb_a, Q9, repeat 10
2025-04-09 21:22:29,539 - INFO - Processing kb_a, Q10, repeat 10
2025-04-09 21:22:31,076 - INFO - Processing kb_a, Q11, repeat 10
2025-04-09 21:22:33,995 - INFO - Processing kb_a, Q12, repeat 10
2025-04-09 21:22:35,357 - INFO - Processing kb_a, Q13, repeat 10
2025-04-09 21:22:47,366 - INFO - Processing kb_a, Q14, repeat 10
2025-04-09 21:22:51,209 - INFO - Processing kb_a, Q15, repeat 10
2025-04-09 21:22:51,862 - INFO - Processing kb_a, Q16, repeat 10
2025-04-09 21:22:53,248 - INFO - Processing kb_a, Q17, repeat 10
2025-04-09 21:22:54,034 - INFO - Processing kb_a, Q18, repeat 10
2025-04-09 21:22:58,827 - INFO - Processing kb_a, Q19, repeat 10
2025-04-09 21:22:59,475 - INFO - Processing kb_a, Q20, repeat 10
2025-04-09 21:23:00,298 - INFO - Starting repeat 11/25 for all questions
2025-04-09 21:23:00,298 - INFO - Processing kb_a, Q1, repeat 11
2025-04-09 21:23:03,961 - INFO - Processing kb_a, Q2, repeat 11
2025-04-09 21:23:05,298 - INFO - Processing kb_a, Q3, repeat 11
2025-04-09 21:23:09,157 - INFO - Processing kb_a, Q4, repeat 11
2025-04-09 21:23:11,798 - INFO - Processing kb_a, Q5, repeat 11
2025-04-09 21:23:14,144 - INFO - Processing kb_a, Q6, repeat 11
2025-04-09 21:23:20,244 - INFO - Processing kb_a, Q7, repeat 11
2025-04-09 21:23:23,726 - INFO - Processing kb_a, Q8, repeat 11
2025-04-09 21:23:25,227 - INFO - Processing kb_a, Q9, repeat 11
2025-04-09 21:23:27,487 - INFO - Processing kb_a, Q10, repeat 11
2025-04-09 21:23:31,249 - INFO - Processing kb_a, Q11, repeat 11
2025-04-09 21:23:33,250 - INFO - Processing kb_a, Q12, repeat 11
2025-04-09 21:23:34,664 - INFO - Processing kb_a, Q13, repeat 11
2025-04-09 21:23:46,134 - INFO - Processing kb_a, Q14, repeat 11
2025-04-09 21:23:49,612 - INFO - Processing kb_a, Q15, repeat 11
2025-04-09 21:23:50,261 - INFO - Processing kb_a, Q16, repeat 11
2025-04-09 21:23:51,159 - INFO - Processing kb_a, Q17, repeat 11
2025-04-09 21:23:51,821 - INFO - Processing kb_a, Q18, repeat 11
2025-04-09 21:23:56,073 - INFO - Processing kb_a, Q19, repeat 11
2025-04-09 21:23:56,691 - INFO - Processing kb_a, Q20, repeat 11
2025-04-09 21:23:57,405 - INFO - Starting repeat 12/25 for all questions
2025-04-09 21:23:57,405 - INFO - Processing kb_a, Q1, repeat 12
2025-04-09 21:24:01,737 - INFO - Processing kb_a, Q2, repeat 12
2025-04-09 21:24:03,192 - INFO - Processing kb_a, Q3, repeat 12
2025-04-09 21:24:05,863 - INFO - Processing kb_a, Q4, repeat 12
2025-04-09 21:24:08,617 - INFO - Processing kb_a, Q5, repeat 12
2025-04-09 21:24:10,456 - INFO - Processing kb_a, Q6, repeat 12
2025-04-09 21:24:15,192 - INFO - Processing kb_a, Q7, repeat 12
2025-04-09 21:24:19,162 - INFO - Processing kb_a, Q8, repeat 12
2025-04-09 21:24:20,654 - INFO - Processing kb_a, Q9, repeat 12
2025-04-09 21:24:23,932 - INFO - Processing kb_a, Q10, repeat 12
2025-04-09 21:24:25,967 - INFO - Processing kb_a, Q11, repeat 12
2025-04-09 21:24:28,944 - INFO - Processing kb_a, Q12, repeat 12
2025-04-09 21:24:30,439 - INFO - Processing kb_a, Q13, repeat 12
2025-04-09 21:24:45,174 - INFO - Processing kb_a, Q14, repeat 12
2025-04-09 21:24:49,155 - INFO - Processing kb_a, Q15, repeat 12
2025-04-09 21:24:49,800 - INFO - Processing kb_a, Q16, repeat 12
2025-04-09 21:24:50,700 - INFO - Processing kb_a, Q17, repeat 12
2025-04-09 21:24:51,298 - INFO - Processing kb_a, Q18, repeat 12
2025-04-09 21:24:53,436 - INFO - Processing kb_a, Q19, repeat 12
2025-04-09 21:24:54,037 - INFO - Processing kb_a, Q20, repeat 12
2025-04-09 21:24:54,977 - INFO - Starting repeat 13/25 for all questions
2025-04-09 21:24:54,977 - INFO - Processing kb_a, Q1, repeat 13
2025-04-09 21:24:59,616 - INFO - Processing kb_a, Q2, repeat 13
2025-04-09 21:25:00,972 - INFO - Processing kb_a, Q3, repeat 13
2025-04-09 21:25:03,376 - INFO - Processing kb_a, Q4, repeat 13
2025-04-09 21:25:06,304 - INFO - Processing kb_a, Q5, repeat 13
2025-04-09 21:25:08,370 - INFO - Processing kb_a, Q6, repeat 13
2025-04-09 21:25:12,295 - INFO - Processing kb_a, Q7, repeat 13
2025-04-09 21:25:16,405 - INFO - Processing kb_a, Q8, repeat 13
2025-04-09 21:25:17,605 - INFO - Processing kb_a, Q9, repeat 13
2025-04-09 21:25:20,511 - INFO - Processing kb_a, Q10, repeat 13
2025-04-09 21:25:23,360 - INFO - Processing kb_a, Q11, repeat 13
2025-04-09 21:25:25,147 - INFO - Processing kb_a, Q12, repeat 13
2025-04-09 21:25:26,665 - INFO - Processing kb_a, Q13, repeat 13
2025-04-09 21:25:39,015 - INFO - Processing kb_a, Q14, repeat 13
2025-04-09 21:25:43,201 - INFO - Processing kb_a, Q15, repeat 13
2025-04-09 21:25:43,834 - INFO - Processing kb_a, Q16, repeat 13
2025-04-09 21:25:44,746 - INFO - Processing kb_a, Q17, repeat 13
2025-04-09 21:25:45,393 - INFO - Processing kb_a, Q18, repeat 13
2025-04-09 21:25:48,262 - INFO - Processing kb_a, Q19, repeat 13
2025-04-09 21:25:48,861 - INFO - Processing kb_a, Q20, repeat 13
2025-04-09 21:25:49,679 - INFO - Starting repeat 14/25 for all questions
2025-04-09 21:25:49,679 - INFO - Processing kb_a, Q1, repeat 14
2025-04-09 21:25:52,508 - INFO - Processing kb_a, Q2, repeat 14
2025-04-09 21:25:54,875 - INFO - Processing kb_a, Q3, repeat 14
2025-04-09 21:25:57,680 - INFO - Processing kb_a, Q4, repeat 14
2025-04-09 21:26:00,495 - INFO - Processing kb_a, Q5, repeat 14
2025-04-09 21:26:02,541 - INFO - Processing kb_a, Q6, repeat 14
2025-04-09 21:26:06,707 - INFO - Processing kb_a, Q7, repeat 14
2025-04-09 21:26:09,676 - INFO - Processing kb_a, Q8, repeat 14
2025-04-09 21:26:11,223 - INFO - Processing kb_a, Q9, repeat 14
2025-04-09 21:26:13,970 - INFO - Processing kb_a, Q10, repeat 14
2025-04-09 21:26:15,489 - INFO - Processing kb_a, Q11, repeat 14
2025-04-09 21:26:17,016 - INFO - Processing kb_a, Q12, repeat 14
2025-04-09 21:26:20,124 - INFO - Processing kb_a, Q13, repeat 14
2025-04-09 21:26:32,295 - INFO - Processing kb_a, Q14, repeat 14
2025-04-09 21:26:37,130 - INFO - Processing kb_a, Q15, repeat 14
2025-04-09 21:26:37,776 - INFO - Processing kb_a, Q16, repeat 14
2025-04-09 21:26:38,674 - INFO - Processing kb_a, Q17, repeat 14
2025-04-09 21:26:39,268 - INFO - Processing kb_a, Q18, repeat 14
2025-04-09 21:26:41,364 - INFO - Processing kb_a, Q19, repeat 14
2025-04-09 21:26:42,000 - INFO - Processing kb_a, Q20, repeat 14
2025-04-09 21:26:42,966 - INFO - Starting repeat 15/25 for all questions
2025-04-09 21:26:42,966 - INFO - Processing kb_a, Q1, repeat 15
2025-04-09 21:26:47,083 - INFO - Processing kb_a, Q2, repeat 15
2025-04-09 21:26:48,600 - INFO - Processing kb_a, Q3, repeat 15
2025-04-09 21:26:50,666 - INFO - Processing kb_a, Q4, repeat 15
2025-04-09 21:26:53,495 - INFO - Processing kb_a, Q5, repeat 15
2025-04-09 21:26:55,770 - INFO - Processing kb_a, Q6, repeat 15
2025-04-09 21:26:58,556 - INFO - Processing kb_a, Q7, repeat 15
2025-04-09 21:27:02,369 - INFO - Processing kb_a, Q8, repeat 15
2025-04-09 21:27:03,863 - INFO - Processing kb_a, Q9, repeat 15
2025-04-09 21:27:06,170 - INFO - Processing kb_a, Q10, repeat 15
2025-04-09 21:27:08,567 - INFO - Processing kb_a, Q11, repeat 15
2025-04-09 21:27:10,118 - INFO - Processing kb_a, Q12, repeat 15
2025-04-09 21:27:14,288 - INFO - Processing kb_a, Q13, repeat 15
2025-04-09 21:27:26,421 - INFO - Processing kb_a, Q14, repeat 15
2025-04-09 21:27:30,774 - INFO - Processing kb_a, Q15, repeat 15
2025-04-09 21:27:31,421 - INFO - Processing kb_a, Q16, repeat 15
2025-04-09 21:27:32,336 - INFO - Processing kb_a, Q17, repeat 15
2025-04-09 21:27:32,997 - INFO - Processing kb_a, Q18, repeat 15
2025-04-09 21:27:37,280 - INFO - Processing kb_a, Q19, repeat 15
2025-04-09 21:27:37,881 - INFO - Processing kb_a, Q20, repeat 15
2025-04-09 21:27:38,815 - INFO - Starting repeat 16/25 for all questions
2025-04-09 21:27:38,815 - INFO - Processing kb_a, Q1, repeat 16
2025-04-09 21:27:43,191 - INFO - Processing kb_a, Q2, repeat 16
2025-04-09 21:27:45,225 - INFO - Processing kb_a, Q3, repeat 16
2025-04-09 21:27:49,198 - INFO - Processing kb_a, Q4, repeat 16
2025-04-09 21:27:51,992 - INFO - Processing kb_a, Q5, repeat 16
2025-04-09 21:27:54,129 - INFO - Processing kb_a, Q6, repeat 16
2025-04-09 21:27:57,287 - INFO - Processing kb_a, Q7, repeat 16
2025-04-09 21:27:59,958 - INFO - Processing kb_a, Q8, repeat 16
2025-04-09 21:28:01,472 - INFO - Processing kb_a, Q9, repeat 16
2025-04-09 21:28:05,208 - INFO - Processing kb_a, Q10, repeat 16
2025-04-09 21:28:07,812 - INFO - Processing kb_a, Q11, repeat 16
2025-04-09 21:28:09,364 - INFO - Processing kb_a, Q12, repeat 16
2025-04-09 21:28:13,479 - INFO - Processing kb_a, Q13, repeat 16
2025-04-09 21:28:25,912 - INFO - Processing kb_a, Q14, repeat 16
